==Frequent itemsets (min_sup=1.0%)
[36-45,BLACK,DE,N_GANG,Y_MENTAL_OBSV], 6.221%
[26-35,DE,MAX,Y_MENTAL_OBSV], 6.1801%
[DE,N_GANG,OTHER,Y_INFRACTION], 6.1664%
[BLACK,DE,MAX,Y_GANG,Y_INFRACTION], 6.1664%
[SSR,nan], 6.1528%
[36-45,N_INFRACTION,OTHER], 6.1528%
[MED,N_GANG,OTHER,Y_MENTAL_OBSV], 6.1392%
[160.15,DE], 6.1255%
[MIN,N_MENTAL_OBSV,OTHER], 6.1119%
[125.25,MED,N_GANG], 6.0982%
[26-35,BLACK,MED,N_GANG], 6.0846%
[26-35,MED,N_MENTAL_OBSV], 6.0573%
[MIN,N_GANG,N_MENTAL_OBSV,OTHER], 6.0573%
[36-45,DE,MIN,N_GANG,N_INFRACTION], 6.0573%
[18-25,OTHER], 6.0437%
[36-45,DE,N_GANG,OTHER], 6.0437%
[36-45,DE,N_GANG,N_INFRACTION,N_MENTAL_OBSV], 6.0437%
[26-35,DE,MED,N_GANG,Y_MENTAL_OBSV], 6.0437%
[36-45,DE,Y_INFRACTION], 6.03%
[125.25,DE,MED,N_GANG], 6.03%
[120.05], 6.0027%
[26-35,DE,MAX,Y_INFRACTION], 6.0027%
[46-55,N_MENTAL_OBSV], 5.9891%
[18-25,BLACK,N_MENTAL_OBSV], 5.9891%
[DE,MED,N_GANG,Y_INFRACTION,Y_MENTAL_OBSV], 5.9891%
[BLACK,MIN,N_GANG,N_INFRACTION,N_MENTAL_OBSV], 5.9891%
[DE,WHITE], 5.9618%
[36-45,MED,N_GANG,Y_MENTAL_OBSV], 5.9618%
[BLACK,DE,MED,N_GANG,N_MENTAL_OBSV], 5.9618%
[36-45,DE,MED,N_GANG,N_INFRACTION], 5.9618%
[N_INFRACTION,WHITE], 5.9482%
[BLACK,MED,N_GANG,N_INFRACTION,N_MENTAL_OBSV], 5.9345%
[BLACK,N_INFRACTION,Y_GANG], 5.8936%
[36-45,N_GANG,N_INFRACTION,OTHER], 5.8936%
[DE,MAX,OTHER], 5.8799%
[BLACK,DE,MED,N_INFRACTION,N_MENTAL_OBSV], 5.8799%
[46-55,MIN,N_INFRACTION], 5.8663%
